idx,name,title,cate,source
660,송동근,안양대학교 경영학과 겸임교수,"경영/조직, 리더십, 조직문화, 조직관리, 목표관리,경제, 주식, 재테크, 투자",https://www.hooh.kr/sub/teacher/next.asp?m_idx=660
661,김현아,성균관대 연기예술학과 겸임교수,"동기부여, 자기관리, 자기계발,소통, 관계, 스피치",https://www.hooh.kr/sub/teacher/next.asp?m_idx=661
663,서정민,"대학교수, 전 신문기자","인문학, 문화,힐링, 여행,사회/환경, 국제정세",https://www.hooh.kr/sub/teacher/next.asp?m_idx=663
686,신영일,"MC,전) 아나운서","동기부여, 자기계발,소통, 커뮤니케이션, 관계, 스피치, 가족",https://www.hooh.kr/sub/teacher/next.asp?m_idx=686
687,오연호,오마이뉴스 대표이사,"동기부여, 삶의자세, 자기계발, 꿈,힐링, 행복,사회/환경",https://www.hooh.kr/sub/teacher/next.asp?m_idx=687
688,박종호,풍월당 대표,"인문학, 예술, 음악,힐링, 공연&강연",https://www.hooh.kr/sub/teacher/next.asp?m_idx=688
689,박재희,민족문화컨텐츠 연구원 원장,"동기부여, 삶의자세,인문학, 역사, 고전, 문화, 한국사,경영/조직, 경영, 리더십, 조직관리, CEO, 위기관리",https://www.hooh.kr/sub/teacher/next.asp?m_idx=689
690,김종석,"개그맨, MC","동기부여, 열정, 프로정신, 인생스토리,교육, 자녀교육, 부모교육,창의/마케팅,힐링, 웃음, 유머",https://www.hooh.kr/sub/teacher/next.asp?m_idx=690
692,탁재형,"다큐멘터리PD, 여행 저널리스트","동기부여, 도전, 삶의자세,힐링, 여행",https://www.hooh.kr/sub/teacher/next.asp?m_idx=692
693,김희재,올댓스토리 대표,"AI/미래, 트렌드,인문학, 영화,창의/마케팅, 콘텐츠",https://www.hooh.kr/sub/teacher/next.asp?m_idx=693
694,김은광,익스트림 스노우보더,"동기부여, 열정, 프로정신, 인생스토리, 도전, 성공, 삶의자세, 마인드셋",https://www.hooh.kr/sub/teacher/next.asp?m_idx=694
710,강원래,"가수, 교수","동기부여, 열정, 인생스토리, 도전, 삶의자세, 마인드셋,힐링, 희망, 행복",https://www.hooh.kr/sub/teacher/next.asp?m_idx=710
711,김동현,이종격투기 선수,"동기부여, 열정, 프로정신, 인생스토리, 도전, 자기관리, 자기계발, 마인드셋,건강, 비만, 정신, 운동",https://www.hooh.kr/sub/teacher/next.asp?m_idx=711
713,강신주,철학자,"동기부여, 인생스토리, 삶의자세, 마인드셋,인문학, 역사, 고전, 철학, 문학",https://www.hooh.kr/sub/teacher/next.asp?m_idx=713
715,김지선,개그우먼,"동기부여, 인생스토리, 삶의자세, 마인드셋,건강, 웃음,교육, 자녀교육, 육아, 여성학, 부모교육,힐링, 웃음, 행복, 유머, 자존감",https://www.hooh.kr/sub/teacher/next.asp?m_idx=715
717,송샛별,스피치 강사,"동기부여, 인생스토리, 자기계발, 꿈,소통, 커뮤니케이션, 스피치, 프레젠테이션,취업, 면접",https://www.hooh.kr/sub/teacher/next.asp?m_idx=717
718,김민섭,경주요양병원 병원장,"동기부여, 인생스토리,인문학,건강, 스트레스, 의학,교육, 자녀교육, 성교육, 부모교육,힐링,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=718
719,김윤이,고려대학교 겸임 교수,"AI/미래, 트렌드, IT, Ai(인공지능), 빅데이터, 사물인터넷, 모바일웹",https://www.hooh.kr/sub/teacher/next.asp?m_idx=719
720,서정욱,서정욱 갤러리 대표,"인문학, 철학, 미술, 예술",https://www.hooh.kr/sub/teacher/next.asp?m_idx=720
721,김대식,카이스트 교수,"AI/미래, 디지털기술, IT, Ai(인공지능), 빅데이터, 미래기술, 메타버스,인문학, 과학, 뇌과학",https://www.hooh.kr/sub/teacher/next.asp?m_idx=721
722,이재현,스카이랩씨투 대표,"소통, 커뮤니케이션, 스피치, 프레젠테이션,세일즈, 협상, 설득",https://www.hooh.kr/sub/teacher/next.asp?m_idx=722
724,임용한,KJ인문경영연구원 대표,"인문학, 역사, 고전, 세계, 문화, 한국사,경영/조직, 경영, 리더십",https://www.hooh.kr/sub/teacher/next.asp?m_idx=724
725,임원빈,해군사관학교 명예교수,"인문학, 역사, 철학, 한국사,경영/조직, 리더십, 혁신, 경영전략",https://www.hooh.kr/sub/teacher/next.asp?m_idx=725
726,이종범,"스포츠해설가, 전)야구선수","동기부여, 열정, 프로정신, 도전, 성공, 삶의자세, 마인드셋,경영/조직, 리더십",https://www.hooh.kr/sub/teacher/next.asp?m_idx=726
